Time	UTC	GPS_lat(deg)	GPS_long(deg)	GVF_IK_CONS:x_avg_dot_d	GVF_IK_CONS:x_avg	GVF_IK_CONS:error	GVF_IK:gamma_omega	GVF_IK:gamma_A	GVF_IK:gamma_dot	GVF_IK:gamma	GVF_IK:error	GVF:omega	GVF:omega_d	GVF:t_norm	GVF:n_norm	GVF:error_n	GVF:ke	GVF:s	GVF:error	NAVIGATION:flight_time	NAVIGATION:dist_home	NAVIGATION:pos_y	NAVIGATION:pos_x	NAVIGATION:cur_block	GPS:speed	GPS:alt	GPS:course	GPS:utm_north	GPS:utm_east	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
164.158	10:03:39.158	37.297975435	-3.683686612	0.	0.	0.	0.6	20.	0.	0.	0.	0.917711	0.22216	0.010428	-0.004879	0.695552	0.6	1	-0.779783	7	102.3	58.5	-83.9	4	1651	752349	3543	412814766	43940607	0.317631	-0.186879	0.370049
164.408	10:03:39.408	37.298012195	-3.683689427	0.	0.	0.	0.6	20.	0.	0.	0.	0.865777	0.259185	0.009576	-0.004679	0.606592	0.6	1	-0.814312	7	105.	62.8	-84.2	4	1630	753702	3580	412815174	43940585	0.307199	-0.098334	0.360059
164.658	10:03:39.658	37.298012195	-3.683689427	0.	0.	0.	0.6	20.	0.	0.	0.	0.804152	0.313205	0.00867	-0.00441	0.490947	0.6	1	-0.847772	8	107.4	66.8	-84.2	4	1630	753702	3580	412815174	43940585	0.307199	-0.098334	0.360059
164.908	10:03:39.908	37.298084405	-3.683687824	0.	0.	0.	0.6	20.	0.	0.	0.	0.745688	0.372097	0.007888	-0.004137	0.37359	0.6	1	-0.873994	8	109.8	70.8	-84.	4	1571	756179	39	412815975	43940605	0.275982	0.032237	0.371824
165.158	10:03:40.158	37.298119134	-3.683683399	0.	0.	0.	0.6	20.	0.	0.	0.	0.553704	0.510288	0.006654	-0.003634	0.043416	0.6	1	-0.910354	8	111.9	74.5	-83.5	4	1531	757253	74	412816360	43940647	0.275982	0.032237	0.371824
165.408	10:03:40.408	37.298119134	-3.683683399	0.	0.	0.	0.6	20.	0.	0.	0.	0.553658	0.510805	0.006654	-0.003634	0.042853	0.6	1	-0.910354	8	111.9	74.5	-83.5	4	1531	757253	74	412816360	43940647	0.27047	0.128961	0.329329
165.658	10:03:40.658	37.298184848	-3.683667182	0.	0.	0.	0.6	20.	0.	0.	0.	0.406621	0.566183	0.006258	-0.003457	-0.159562	0.6	1	-0.920706	9	116.	82.	-82.	4	1464	759318	147	412817088	43940796	0.27047	0.128961	0.329329
165.908	10:03:40.908	37.298216014	-3.683655392	0.	0.	0.	0.6	20.	0.	0.	0.	0.234085	0.600069	0.006027	-0.00335	-0.365984	0.6	1	-0.92644	9	117.8	85.5	-81.	4	1443	760252	187	412817433	43940903	0.224211	0.269003	0.488868
166.158	10:03:41.158	37.298246204	-3.683640771	0.	0.	0.	0.6	20.	0.	0.	0.	-0.181042	0.536893	0.006205	-0.003433	-0.717935	0.6	1	-0.922026	9	119.	88.5	-79.6	4	1442	761063	233	412817767	43941035	0.224211	0.269003	0.488868
166.408	10:03:41.408	37.298275154	-3.683622417	0.	0.	0.	0.6	20.	0.	0.	0.	-0.181042	0.536893	0.006205	-0.003433	-0.717935	0.6	1	-0.922026	9	120.4	91.8	-78.	4	1425	761712	295	412818087	43941200	0.199073	0.461917	0.574964
